INFO  - 2013-07-30 17:38:47.356; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.356; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.357; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-07-30 17:38:47.372; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-30 17:38:47.375; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-30 17:38:47.375; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-30 17:38:47.387; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2d44b624 main
INFO  - 2013-07-30 17:38:47.403; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-07-30 17:38:47.403; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-07-30 17:38:47.403; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-07-30 17:38:47.410; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-07-30 17:38:47.417; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-07-30 17:38:47.419; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-07-30 17:38:47.454; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-07-30 17:38:47.454; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@2d44b624 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-07-30 17:38:47.455; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-07-30 17:38:47.459; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Volumes/Storage/temp/plzdb/solr-4.4.0/example
INFO  - 2013-07-30 17:38:47.459; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-07-30 17:38:47.506; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-07-30 17:38:47.521; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=64 
INFO  - 2013-07-30 17:38:47.521; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-07-30 17:38:47.521; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-07-30 17:38:47.522; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-07-30 17:38:47.522; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@2d44b624 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-07-30 17:40:55.346; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1375198855321&wt=json} status=0 QTime=1 
INFO  - 2013-07-30 17:40:55.441; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={_=1375198855365&wt=json} status=0 QTime=52 
INFO  - 2013-07-30 17:41:01.038; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/logging params={_=1375198861007&since=0&wt=json} status=0 QTime=2 
INFO  - 2013-07-30 17:41:11.078; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/logging params={_=1375198871066&since=1375198727192&wt=json} status=0 QTime=0 
INFO  - 2013-07-30 17:41:11.183; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1375198871121&wt=json} status=0 QTime=16 
INFO  - 2013-07-30 17:41:11.277; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={_=1375198871256&wt=json} status=0 QTime=1 
INFO  - 2013-07-30 17:41:54.454; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/logging params={_=1375198914406&since=0&wt=json} status=0 QTime=0 
INFO  - 2013-07-30 17:41:57.058; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/properties params={_=1375198917024&wt=json} status=0 QTime=0 
INFO  - 2013-07-30 17:41:59.560; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/threads params={_=1375198919508&wt=json} status=0 QTime=17 
INFO  - 2013-07-30 17:42:04.324; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/properties params={_=1375198924268&wt=json} status=0 QTime=0 
INFO  - 2013-07-30 18:03:06.518; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Volumes/Storage/temp/plzdb/solr-4.4.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@5dedb45; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-07-30 18:03:06.519; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-07-30 18:03:06.556; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[USD (1442001910761521152), EUR (1442001910810804224), GBP (1442001910812901376), NOK (1442001910814998528)]} 0 93
INFO  - 2013-07-30 18:03:06.570; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=true,prepareCommit=false}
INFO  - 2013-07-30 18:03:06.605; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3295a253 main
INFO  - 2013-07-30 18:03:06.607; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2013-07-30 18:03:06.607; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3295a253 main{StandardDirectoryReader(segments_1:3:nrt _0(4.4):C4)}
INFO  - 2013-07-30 18:03:06.608; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-07-30 18:03:06.608; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3295a253 main{StandardDirectoryReader(segments_1:3:nrt _0(4.4):C4)}
INFO  - 2013-07-30 18:03:06.608; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={softCommit=true} {commit=} 0 38
INFO  - 2013-07-30 18:03:21.550; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=false,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2013-07-30 18:03:21.571; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
